epoch,loss,recon_loss,kl_loss
1,6689.544743589111,6612.429373803202,77.1153708539935
2,6497.417619889549,6407.560368589111,89.85725189806612
3,6477.86443918292,6383.062031459748,94.80240976185416
4,6468.871059203253,6371.106744820456,97.76431496114725
5,6462.62762771192,6362.934657913179,99.69296842516033
6,6458.216455417423,6356.856044015023,101.36041234221852
7,6453.879336233615,6350.8900839732705,102.98924950354474
8,6450.531281462216,6346.4010679879975,104.13021263079182
9,6448.287671068087,6343.361500858733,104.92616943340097
10,6446.605523037745,6341.120863027085,105.48466052153557
11,6445.131132972896,6339.196712260147,105.93442874698796
12,6444.083268455365,6337.823742189968,106.25953282002625
13,6443.087299011963,6336.508442052767,106.57885345536097
14,6442.12155118594,6335.287038122335,106.8345094441012
15,6441.412628810012,6334.40707511203,107.00554901817067
16,6440.833945201457,6333.656406077266,107.17754099418751
17,6440.055215880152,6332.699961505054,107.35525481850003
18,6439.575703334748,6332.103781203115,107.47192130266528
19,6439.218990901867,6331.6378190021915,107.58116956699972
20,6438.658494304722,6330.954009026571,107.70448673366371
